sample_id,old_clash_score_before,old_clash_score_after,old_clash_resolved,new_severe_clash_count,no_new_severe_clash,scaffold_rmsd,non_edit_rmsd,geometry_valid,edit_compliance,repair_pass,failure_reasons
complex_crossdocked_000001,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000002,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000003,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000004,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000005,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000048,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000049,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000050,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000021,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000022,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000023,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000024,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000025,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000029,0.008340960546377119,0.008340960546377119,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000030,0.029469838451007035,0.029469838451007035,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000017,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000018,0.08875646168598905,0.08875646168598905,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000019,0.2919429333115886,0.2919429333115886,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000020,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000026,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000027,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000028,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000031,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000032,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000033,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000035,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_crossdocked_000036,0.0,0.0,True,0,True,0.0,0.0,True,True,True,[]
complex_diffsbdd_5ndu,0.019977202684685835,0.019977202684685835,True,0,True,0.0,0.0,True,True,True,[]
